yearID,teamID,lgID,playerID,salary
2002,ANA,AL,anderga01,5000000
2002,ANA,AL,appieke01,9500000
2002,ANA,AL,cookde01,1250000
2002,ANA,AL,davanje02,207500
2002,ANA,AL,eckstda01,280000
2002,ANA,AL,erstada01,6250000
2002,ANA,AL,fabrejo01,500000
2002,ANA,AL,fullmbr01,4000000
2002,ANA,AL,gilbe01,400000
2002,ANA,AL,glaustr01,4000000
2002,ANA,AL,greenst01,200000
2002,ANA,AL,kennead01,375000
2002,ANA,AL,levinal01,1325000
2002,ANA,AL,lukasma01,207500
2002,ANA,AL,molinbe01,350000
2002,ANA,AL,nievejo01,240000
2002,ANA,AL,ortizra01,575000
2002,ANA,AL,palmeor01,1000000
2002,ANA,AL,percitr01,5250000
2002,ANA,AL,potelo01,255000
2002,ANA,AL,salmoti01,9650000
2002,ANA,AL,schoesc01,325000
2002,ANA,AL,seleaa01,7166667
2002,ANA,AL,spiezsc01,2275000
2002,ANA,AL,walldo01,300000
2002,ANA,AL,washbja01,350000
2002,ANA,AL,weberbe01,240000
2002,ANA,AL,wootesh01,250000
2002,ARI,NL,anderbr02,5375000
2002,ARI,NL,barajro01,215000
2002,ARI,NL,batismi01,2125000
2002,ARI,NL,bautida01,2000000
2002,ARI,NL,bellja01,8000000
2002,ARI,NL,colbrgr01,1800000
2002,ARI,NL,counscr01,1516667
2002,ARI,NL,delluda01,775000
2002,ARI,NL,donnech01,350000
2002,ARI,NL,durazer01,375000
2002,ARI,NL,finlest01,5375000
2002,ARI,NL,gonzalu01,4333333
2002,ARI,NL,gracema01,3000000
2002,ARI,NL,guilljo01,500000
2002,ARI,NL,helliri01,3000000
2002,ARI,NL,johnsra05,13350000
2002,ARI,NL,kimby01,762500
2002,ARI,NL,klassda01,227500
2002,ARI,NL,mantema01,4333333
2002,ARI,NL,mccraqu01,500000
2002,ARI,NL,milleda02,2650000
2002,ARI,NL,moellch01,215000
2002,ARI,NL,morgami01,750000
2002,ARI,NL,myersmi01,1533333
2002,ARI,NL,oropeed01,350000
2002,ARI,NL,prinzbr01,235000
2002,ARI,NL,reynoar02,4125000
2002,ARI,NL,schilcu01,10000000
2002,ARI,NL,spiveju01,215000
2002,ARI,NL,stottto01,8000000
2002,ARI,NL,swindgr01,2833333
2002,ARI,NL,willima04,9500000
2002,ARI,NL,womacto01,4500000
2002,ATL,NL,aldrico01,200000
2002,ATL,NL,blanche01,1512500
2002,ATL,NL,castivi02,3000000
2002,ATL,NL,derosma01,222500
2002,ATL,NL,francju01,600000
2002,ATL,NL,furcara01,405000
2002,ATL,NL,gilesma01,210000
2002,ATL,NL,glavito02,8623700
2002,ATL,NL,hammoch01,450000
2002,ATL,NL,helmswe01,250000
2002,ATL,NL,holmeda01,325000
2002,ATL,NL,jonesan01,10000000
2002,ATL,NL,jonesch06,11333333
2002,ATL,NL,ligteke01,1700000
2002,ATL,NL,lockhke01,600000
2002,ATL,NL,lombage01,210000
2002,ATL,NL,lopezal02,4000000
2002,ATL,NL,lopezja01,6000000
2002,ATL,NL,maddugr01,13100000
